"Time Stamp","Time Zone","Name","PTID","Load"
"12/17/2025 00:00:00","EST","CAPITL",61757,1480.9711
"12/17/2025 00:00:00","EST","CENTRL",61754,1921.6467
"12/17/2025 00:00:00","EST","DUNWOD",61760,666.394
"12/17/2025 00:00:00","EST","GENESE",61753,1123.7893
"12/17/2025 00:00:00","EST","HUD VL",61758,1235.8617
"12/17/2025 00:00:00","EST","LONGIL",61762,2343.1099
"12/17/2025 00:00:00","EST","MHK VL",61756,1000.1511
"12/17/2025 00:00:00","EST","MILLWD",61759,367.6423
"12/17/2025 00:00:00","EST","N.Y.C.",61761,5664.707
"12/17/2025 00:00:00","EST","NORTH",61755,671.985
"12/17/2025 00:00:00","EST","WEST",61752,1691.0023
"12/17/2025 00:05:00","EST","CAPITL",61757,1456.9375
"12/17/2025 00:05:00","EST","CENTRL",61754,1862.3379
"12/17/2025 00:05:00","EST","DUNWOD",61760,667.7602
"12/17/2025 00:05:00","EST","GENESE",61753,1109.5691
"12/17/2025 00:05:00","EST","HUD VL",61758,1212.7968
"12/17/2025 00:05:00","EST","LONGIL",61762,2326.5356
"12/17/2025 00:05:00","EST","MHK VL",61756,998.6425
"12/17/2025 00:05:00","EST","MILLWD",61759,367.9201
"12/17/2025 00:05:00","EST","N.Y.C.",61761,5612.2744
"12/17/2025 00:05:00","EST","NORTH",61755,676.9618
"12/17/2025 00:05:00","EST","WEST",61752,1713.5226
"12/17/2025 00:10:00","EST","CAPITL",61757,1494.0931
"12/17/2025 00:10:00","EST","CENTRL",61754,1902.5535
"12/17/2025 00:10:00","EST","DUNWOD",61760,654.0814
"12/17/2025 00:10:00","EST","GENESE",61753,1113.9907
"12/17/2025 00:10:00","EST","HUD VL",61758,1153.2576
"12/17/2025 00:10:00","EST","LONGIL",61762,2343.5688
"12/17/2025 00:10:00","EST","MHK VL",61756,1008.7474
"12/17/2025 00:10:00","EST","MILLWD",61759,382.1886
"12/17/2025 00:10:00","EST","N.Y.C.",61761,5585.4614
"12/17/2025 00:10:00","EST","NORTH",61755,677.7509
"12/17/2025 00:10:00","EST","WEST",61752,1692.0151
"12/17/2025 00:15:00","EST","CAPITL",61757,1454.2936
"12/17/2025 00:15:00","EST","CENTRL",61754,1877.3157
"12/17/2025 00:15:00","EST","DUNWOD",61760,675.4519
"12/17/2025 00:15:00","EST","GENESE",61753,1108.2644
"12/17/2025 00:15:00","EST","HUD VL",61758,1231.9258
"12/17/2025 00:15:00","EST","LONGIL",61762,2320.56
"12/17/2025 00:15:00","EST","MHK VL",61756,1013.7305
"12/17/2025 00:15:00","EST","MILLWD",61759,373.104
"12/17/2025 00:15:00","EST","N.Y.C.",61761,5586.434
"12/17/2025 00:15:00","EST","NORTH",61755,671.4353
"12/17/2025 00:15:00","EST","WEST",61752,1675.5973
"12/17/2025 00:20:00","EST","CAPITL",61757,1468.8135
"12/17/2025 00:20:00","EST","CENTRL",61754,1868.1863
"12/17/2025 00:20:00","EST","DUNWOD",61760,673.2466
"12/17/2025 00:20:00","EST","GENESE",61753,1111.6213
"12/17/2025 00:20:00","EST","HUD VL",61758,1237.2065
"12/17/2025 00:20:00","EST","LONGIL",61762,2304.4553
"12/17/2025 00:20:00","EST","MHK VL",61756,998.6691
"12/17/2025 00:20:00","EST","MILLWD",61759,371.6394
"12/17/2025 00:20:00","EST","N.Y.C.",61761,5568.764
"12/17/2025 00:20:00","EST","NORTH",61755,667.8129
"12/17/2025 00:20:00","EST","WEST",61752,1695.0225
"12/17/2025 00:25:00","EST","CAPITL",61757,1468.7097
"12/17/2025 00:25:00","EST","CENTRL",61754,1873.0471
"12/17/2025 00:25:00","EST","DUNWOD",61760,673.9527
"12/17/2025 00:25:00","EST","GENESE",61753,1099.0593
"12/17/2025 00:25:00","EST","HUD VL",61758,1221.0138
"12/17/2025 00:25:00","EST","LONGIL",61762,2320.6304
"12/17/2025 00:25:00","EST","MHK VL",61756,991.4132
"12/17/2025 00:25:00","EST","MILLWD",61759,367.8746
"12/17/2025 00:25:00","EST","N.Y.C.",61761,5533.463
"12/17/2025 00:25:00","EST","NORTH",61755,670.4504
"12/17/2025 00:25:00","EST","WEST",61752,1680.9364
"12/17/2025 00:30:00","EST","CAPITL",61757,1459.7847
"12/17/2025 00:30:00","EST","CENTRL",61754,1857.2922
"12/17/2025 00:30:00","EST","DUNWOD",61760,668.8239
"12/17/2025 00:30:00","EST","GENESE",61753,1093.7079
"12/17/2025 00:30:00","EST","HUD VL",61758,1198.2646
"12/17/2025 00:30:00","EST","LONGIL",61762,2284.5493
"12/17/2025 00:30:00","EST","MHK VL",61756,985.0247
"12/17/2025 00:30:00","EST","MILLWD",61759,364.4348
"12/17/2025 00:30:00","EST","N.Y.C.",61761,5506.8115
"12/17/2025 00:30:00","EST","NORTH",61755,674.1929
"12/17/2025 00:30:00","EST","WEST",61752,1673.8918
"12/17/2025 00:35:00","EST","CAPITL",61757,1456.9545
"12/17/2025 00:35:00","EST","CENTRL",61754,1858.9902
"12/17/2025 00:35:00","EST","DUNWOD",61760,670.9567
"12/17/2025 00:35:00","EST","GENESE",61753,1092.622
"12/17/2025 00:35:00","EST","HUD VL",61758,1205.6273
"12/17/2025 00:35:00","EST","LONGIL",61762,2295.9075
"12/17/2025 00:35:00","EST","MHK VL",61756,988.2198
"12/17/2025 00:35:00","EST","MILLWD",61759,366.225
"12/17/2025 00:35:00","EST","N.Y.C.",61761,5481.3154
"12/17/2025 00:35:00","EST","NORTH",61755,675.6715
"12/17/2025 00:35:00","EST","WEST",61752,1678.22
"12/17/2025 00:40:00","EST","CAPITL",61757,1449.168
"12/17/2025 00:40:00","EST","CENTRL",61754,1870.2495
"12/17/2025 00:40:00","EST","DUNWOD",61760,653.704
"12/17/2025 00:40:00","EST","GENESE",61753,1093.4514
"12/17/2025 00:40:00","EST","HUD VL",61758,1197.9683
"12/17/2025 00:40:00","EST","LONGIL",61762,2281.105
"12/17/2025 00:40:00","EST","MHK VL",61756,996.4089
"12/17/2025 00:40:00","EST","MILLWD",61759,361.3578
"12/17/2025 00:40:00","EST","N.Y.C.",61761,5474.3086
"12/17/2025 00:40:00","EST","NORTH",61755,660.1875
"12/17/2025 00:40:00","EST","WEST",61752,1647.9833
"12/17/2025 00:45:00","EST","CAPITL",61757,1447.696
"12/17/2025 00:45:00","EST","CENTRL",61754,1851.5735
"12/17/2025 00:45:00","EST","DUNWOD",61760,653.8954
"12/17/2025 00:45:00","EST","GENESE",61753,1088.489
"12/17/2025 00:45:00","EST","HUD VL",61758,1200.5687
"12/17/2025 00:45:00","EST","LONGIL",61762,2275.4521
"12/17/2025 00:45:00","EST","MHK VL",61756,1009.5728
"12/17/2025 00:45:00","EST","MILLWD",61759,355.3522
"12/17/2025 00:45:00","EST","N.Y.C.",61761,5457.921
"12/17/2025 00:45:00","EST","NORTH",61755,655.9489
"12/17/2025 00:45:00","EST","WEST",61752,1655.8063
"12/17/2025 00:50:00","EST","CAPITL",61757,1451.415
"12/17/2025 00:50:00","EST","CENTRL",61754,1864.1174
"12/17/2025 00:50:00","EST","DUNWOD",61760,653.5883
"12/17/2025 00:50:00","EST","GENESE",61753,1085.811
"12/17/2025 00:50:00","EST","HUD VL",61758,1181.0748
"12/17/2025 00:50:00","EST","LONGIL",61762,2265.521
