"Time Stamp","Time Zone","Name","PTID","Load"
"12/01/2025 00:00:00","EST","CAPITL",61757,1253.56
"12/01/2025 00:00:00","EST","CENTRL",61754,1637.8076
"12/01/2025 00:00:00","EST","DUNWOD",61760,564.2474
"12/01/2025 00:00:00","EST","GENESE",61753,966.9351
"12/01/2025 00:00:00","EST","HUD VL",61758,1049.0037
"12/01/2025 00:00:00","EST","LONGIL",61762,1900.1102
"12/01/2025 00:00:00","EST","MHK VL",61756,815.3835
"12/01/2025 00:00:00","EST","MILLWD",61759,262.1827
"12/01/2025 00:00:00","EST","N.Y.C.",61761,4782.5527
"12/01/2025 00:00:00","EST","NORTH",61755,689.2147
"12/01/2025 00:00:00","EST","WEST",61752,1554.9456
"12/01/2025 00:05:00","EST","CAPITL",61757,1235.011
"12/01/2025 00:05:00","EST","CENTRL",61754,1638.95
"12/01/2025 00:05:00","EST","DUNWOD",61760,552.3004
"12/01/2025 00:05:00","EST","GENESE",61753,963.6824
"12/01/2025 00:05:00","EST","HUD VL",61758,1026.3201
"12/01/2025 00:05:00","EST","LONGIL",61762,1890.8926
"12/01/2025 00:05:00","EST","MHK VL",61756,832.7138
"12/01/2025 00:05:00","EST","MILLWD",61759,274.4038
"12/01/2025 00:05:00","EST","N.Y.C.",61761,4766.59
"12/01/2025 00:05:00","EST","NORTH",61755,663.8732
"12/01/2025 00:05:00","EST","WEST",61752,1554.2196
"12/01/2025 00:10:00","EST","CAPITL",61757,1245.7152
"12/01/2025 00:10:00","EST","CENTRL",61754,1654.5063
"12/01/2025 00:10:00","EST","DUNWOD",61760,555.7695
"12/01/2025 00:10:00","EST","GENESE",61753,958.7875
"12/01/2025 00:10:00","EST","HUD VL",61758,1032.2744
"12/01/2025 00:10:00","EST","LONGIL",61762,1874.7212
"12/01/2025 00:10:00","EST","MHK VL",61756,842.141
"12/01/2025 00:10:00","EST","MILLWD",61759,273.4205
"12/01/2025 00:10:00","EST","N.Y.C.",61761,4759.8203
"12/01/2025 00:10:00","EST","NORTH",61755,623.9148
"12/01/2025 00:10:00","EST","WEST",61752,1557.3839
"12/01/2025 00:15:00","EST","CAPITL",61757,1233.8306
"12/01/2025 00:15:00","EST","CENTRL",61754,1632.8406
"12/01/2025 00:15:00","EST","DUNWOD",61760,554.877
"12/01/2025 00:15:00","EST","GENESE",61753,957.5681
"12/01/2025 00:15:00","EST","HUD VL",61758,977.5838
"12/01/2025 00:15:00","EST","LONGIL",61762,1874.7114
"12/01/2025 00:15:00","EST","MHK VL",61756,819.9393
"12/01/2025 00:15:00","EST","MILLWD",61759,293.0319
