"Time Stamp","Time Zone","Name","PTID","Load"
"12/07/2025 00:00:00","EST","CAPITL",61757,1358.207
"12/07/2025 00:00:00","EST","CENTRL",61754,1684.7285
"12/07/2025 00:00:00","EST","DUNWOD",61760,647.2377
"12/07/2025 00:00:00","EST","GENESE",61753,1014.5338
"12/07/2025 00:00:00","EST","HUD VL",61758,1150.9165
"12/07/2025 00:00:00","EST","LONGIL",61762,2144.0056
"12/07/2025 00:00:00","EST","MHK VL",61756,878.205
"12/07/2025 00:00:00","EST","MILLWD",61759,302.0313
"12/07/2025 00:00:00","EST","N.Y.C.",61761,5158.3726
"12/07/2025 00:00:00","EST","NORTH",61755,664.3995
"12/07/2025 00:00:00","EST","WEST",61752,1557.6125
"12/07/2025 00:05:00","EST","CAPITL",61757,1385.1123
"12/07/2025 00:05:00","EST","CENTRL",61754,1685.6152
"12/07/2025 00:05:00","EST","DUNWOD",61760,643.5676
"12/07/2025 00:05:00","EST","GENESE",61753,1007.5211
"12/07/2025 00:05:00","EST","HUD VL",61758,1119.1852
"12/07/2025 00:05:00","EST","LONGIL",61762,2138.6172
"12/07/2025 00:05:00","EST","MHK VL",61756,894.8613
"12/07/2025 00:05:00","EST","MILLWD",61759,307.9
"12/07/2025 00:05:00","EST","N.Y.C.",61761,5118.843
"12/07/2025 00:05:00","EST","NORTH",61755,684.4524
"12/07/2025 00:05:00","EST","WEST",61752,1590.8997
"12/07/2025 00:10:00","EST","CAPITL",61757,1371.3508
"12/07/2025 00:10:00","EST","CENTRL",61754,1683.2646
"12/07/2025 00:10:00","EST","DUNWOD",61760,655.6691
"12/07/2025 00:10:00","EST","GENESE",61753,1010.9048
"12/07/2025 00:10:00","EST","HUD VL",61758,1153.1106
"12/07/2025 00:10:00","EST","LONGIL",61762,2128.1309
"12/07/2025 00:10:00","EST","MHK VL",61756,890.9838
"12/07/2025 00:10:00","EST","MILLWD",61759,316.0206
"12/07/2025 00:10:00","EST","N.Y.C.",61761,5116.543
"12/07/2025 00:10:00","EST","NORTH",61755,700.6628
"12/07/2025 00:10:00","EST","WEST",61752,1575.1445
"12/07/2025 00:15:00","EST","CAPITL",61757,1375.6562
"12/07/2025 00:15:00","EST","CENTRL",61754,1680.1826
"12/07/2025 00:15:00","EST","DUNWOD",61760,638.9624
"12/07/2025 00:15:00","EST","GENESE",61753,1005.2871
"12/07/2025 00:15:00","EST","HUD VL",61758,1123.1118
"12/07/2025 00:15:00","EST","LONGIL",61762,2120.151
"12/07/2025 00:15:00","EST","MHK VL",61756,871.4465
"12/07/2025 00:15:00","EST","MILLWD",61759,316.1923
"12/07/2025 00:15:00","EST","N.Y.C.",61761,5089.618
"12/07/2025 00:15:00","EST","NORTH",61755,692.6754
"12/07/2025 00:15:00","EST","WEST",61752,1547.0265
"12/07/2025 00:20:00","EST","CAPITL",61757,1357.8488
"12/07/2025 00:20:00","EST","CENTRL",61754,1690.3496
"12/07/2025 00:20:00","EST","DUNWOD",61760,651.9374
"12/07/2025 00:20:00","EST","GENESE",61753,997.3084
"12/07/2025 00:20:00","EST","HUD VL",61758,1117.9387
"12/07/2025 00:20:00","EST","LONGIL",61762,2126.7793
"12/07/2025 00:20:00","EST","MHK VL",61756,905.4734
"12/07/2025 00:20:00","EST","MILLWD",61759,315.4329
"12/07/2025 00:20:00","EST","N.Y.C.",61761,5062.4653
"12/07/2025 00:20:00","EST","NORTH",61755,668.0256
"12/07/2025 00:20:00","EST","WEST",61752,1543.3883
"12/07/2025 00:25:00","EST","CAPITL",61757,1355.3313
"12/07/2025 00:25:00","EST","CENTRL",61754,1688.0977
"12/07/2025 00:25:00","EST","DUNWOD",61760,625.1769
"12/07/2025 00:25:00","EST","GENESE",61753,1002.1631
"12/07/2025 00:25:00","EST","HUD VL",61758,1111.2881
"12/07/2025 00:25:00","EST","LONGIL",61762,2102.9978
"12/07/2025 00:25:00","EST","MHK VL",61756,912.1709
"12/07/2025 00:25:00","EST","MILLWD",61759,318.2977
"12/07/2025 00:25:00","EST","N.Y.C.",61761,5082.854
"12/07/2025 00:25:00","EST","NORTH",61755,661.5554
"12/07/2025 00:25:00","EST","WEST",61752,1549.9229
"12/07/2025 00:30:00","EST","CAPITL",61757,1354.4841
"12/07/2025 00:30:00","EST","CENTRL",61754,1664.5117
"12/07/2025 00:30:00","EST","DUNWOD",61760,666.0635
"12/07/2025 00:30:00","EST","GENESE",61753,1007.3919
"12/07/2025 00:30:00","EST","HUD VL",61758,1097.9678
"12/07/2025 00:30:00","EST","LONGIL",61762,2093.158
"12/07/2025 00:30:00","EST","MHK VL",61756,882.9955
