"Time Stamp","Time Zone","Name","PTID","Load"
"12/19/2025 00:00:00","EST","CAPITL",61757,1300.6636
"12/19/2025 00:00:00","EST","CENTRL",61754,1667.4128
"12/19/2025 00:00:00","EST","DUNWOD",61760,596.0252
"12/19/2025 00:00:00","EST","GENESE",61753,992.2794
"12/19/2025 00:00:00","EST","HUD VL",61758,1070.6985
"12/19/2025 00:00:00","EST","LONGIL",61762,2044.3384
"12/19/2025 00:00:00","EST","MHK VL",61756,854.9025
"12/19/2025 00:00:00","EST","MILLWD",61759,294.2089
"12/19/2025 00:00:00","EST","N.Y.C.",61761,4987.0967
"12/19/2025 00:00:00","EST","NORTH",61755,671.2275
"12/19/2025 00:00:00","EST","WEST",61752,1616.1758
"12/19/2025 00:05:00","EST","CAPITL",61757,1300.4836
"12/19/2025 00:05:00","EST","CENTRL",61754,1653.4956
"12/19/2025 00:05:00","EST","DUNWOD",61760,589.9127
"12/19/2025 00:05:00","EST","GENESE",61753,986.0056
"12/19/2025 00:05:00","EST","HUD VL",61758,1042.544
"12/19/2025 00:05:00","EST","LONGIL",61762,2014.775
"12/19/2025 00:05:00","EST","MHK VL",61756,850.4623
"12/19/2025 00:05:00","EST","MILLWD",61759,297.5562
"12/19/2025 00:05:00","EST","N.Y.C.",61761,4943.985
"12/19/2025 00:05:00","EST","NORTH",61755,681.3535
"12/19/2025 00:05:00","EST","WEST",61752,1617.242
"12/19/2025 00:10:00","EST","CAPITL",61757,1292.8097
"12/19/2025 00:10:00","EST","CENTRL",61754,1667.9292
"12/19/2025 00:10:00","EST","DUNWOD",61760,594.8427
"12/19/2025 00:10:00","EST","GENESE",61753,982.8679
"12/19/2025 00:10:00","EST","HUD VL",61758,1053.6697
"12/19/2025 00:10:00","EST","LONGIL",61762,2010.956
"12/19/2025 00:10:00","EST","MHK VL",61756,851.5772
"12/19/2025 00:10:00","EST","MILLWD",61759,306.4973
"12/19/2025 00:10:00","EST","N.Y.C.",61761,4940.907
"12/19/2025 00:10:00","EST","NORTH",61755,672.4316
"12/19/2025 00:10:00","EST","WEST",61752,1605.8848
"12/19/2025 00:15:00","EST","CAPITL",61757,1291.9478
"12/19/2025 00:15:00","EST","CENTRL",61754,1658.5879
"12/19/2025 00:15:00","EST","DUNWOD",61760,600.2307
"12/19/2025 00:15:00","EST","GENESE",61753,978.3798
"12/19/2025 00:15:00","EST","HUD VL",61758,1043.8611
"12/19/2025 00:15:00","EST","LONGIL",61762,1984.2136
"12/19/2025 00:15:00","EST","MHK VL",61756,864.331
"12/19/2025 00:15:00","EST","MILLWD",61759,312.0508
"12/19/2025 00:15:00","EST","N.Y.C.",61761,4920.4453
"12/19/2025 00:15:00","EST","NORTH",61755,670.6641
"12/19/2025 00:15:00","EST","WEST",61752,1604.4429
"12/19/2025 00:20:00","EST","CAPITL",61757,1282.0132
"12/19/2025 00:20:00","EST","CENTRL",61754,1654.7302
"12/19/2025 00:20:00","EST","DUNWOD",61760,587.6998
"12/19/2025 00:20:00","EST","GENESE",61753,970.663
"12/19/2025 00:20:00","EST","HUD VL",61758,1051.0929
"12/19/2025 00:20:00","EST","LONGIL",61762,1993.6389
"12/19/2025 00:20:00","EST","MHK VL",61756,852.9669
"12/19/2025 00:20:00","EST","MILLWD",61759,310.162
"12/19/2025 00:20:00","EST","N.Y.C.",61761,4904.8013
"12/19/2025 00:20:00","EST","NORTH",61755,676.1204
"12/19/2025 00:20:00","EST","WEST",61752,1606.5934
"12/19/2025 00:25:00","EST","CAPITL",61757,1266.0219
"12/19/2025 00:25:00","EST","CENTRL",61754,1652.8491
"12/19/2025 00:25:00","EST","DUNWOD",61760,593.4097
"12/19/2025 00:25:00","EST","GENESE",61753,974.7999
"12/19/2025 00:25:00","EST","HUD VL",61758,1050.0676
"12/19/2025 00:25:00","EST","LONGIL",61762,1996.5828
"12/19/2025 00:25:00","EST","MHK VL",61756,850.3782
"12/19/2025 00:25:00","EST","MILLWD",61759,308.7556
"12/19/2025 00:25:00","EST","N.Y.C.",61761,4862.383
"12/19/2025 00:25:00","EST","NORTH",61755,669.84
