"Time Stamp","Time Zone","Name","PTID","Load"
"12/05/2025 00:00:00","EST","CAPITL",61757,1518.5259
"12/05/2025 00:00:00","EST","CENTRL",61754,1875.6675
"12/05/2025 00:00:00","EST","DUNWOD",61760,656.9843
"12/05/2025 00:00:00","EST","GENESE",61753,1129.1697
"12/05/2025 00:00:00","EST","HUD VL",61758,1231.8577
"12/05/2025 00:00:00","EST","LONGIL",61762,2282.833
"12/05/2025 00:00:00","EST","MHK VL",61756,1050.7856
"12/05/2025 00:00:00","EST","MILLWD",61759,346.9814
"12/05/2025 00:00:00","EST","N.Y.C.",61761,5508.813
"12/05/2025 00:00:00","EST","NORTH",61755,727.9088
"12/05/2025 00:00:00","EST","WEST",61752,1756.4502
"12/05/2025 00:05:00","EST","CAPITL",61757,1512.9221
"12/05/2025 00:05:00","EST","CENTRL",61754,1848.54
"12/05/2025 00:05:00","EST","DUNWOD",61760,640.6729
"12/05/2025 00:05:00","EST","GENESE",61753,1122.9601
"12/05/2025 00:05:00","EST","HUD VL",61758,1211.2424
"12/05/2025 00:05:00","EST","LONGIL",61762,2268.3926
"12/05/2025 00:05:00","EST","MHK VL",61756,1057.1489
"12/05/2025 00:05:00","EST","MILLWD",61759,357.5645
"12/05/2025 00:05:00","EST","N.Y.C.",61761,5513.578
"12/05/2025 00:05:00","EST","NORTH",61755,717.246
"12/05/2025 00:05:00","EST","WEST",61752,1744.6487
"12/05/2025 00:10:00","EST","CAPITL",61757,1520.911
"12/05/2025 00:10:00","EST","CENTRL",61754,1881.8735
"12/05/2025 00:10:00","EST","DUNWOD",61760,659.2153
"12/05/2025 00:10:00","EST","GENESE",61753,1124.032
"12/05/2025 00:10:00","EST","HUD VL",61758,1241.5441
"12/05/2025 00:10:00","EST","LONGIL",61762,2273.5042
"12/05/2025 00:10:00","EST","MHK VL",61756,1046.0541
"12/05/2025 00:10:00","EST","MILLWD",61759,341.1696
"12/05/2025 00:10:00","EST","N.Y.C.",61761,5468.248
"12/05/2025 00:10:00","EST","NORTH",61755,716.2081
"12/05/2025 00:10:00","EST","WEST",61752,1742.0232
"12/05/2025 00:15:00","EST","CAPITL",61757,1514.1177
"12/05/2025 00:15:00","EST","CENTRL",61754,1862.0374
"12/05/2025 00:15:00","EST","DUNWOD",61760,661.1366
"12/05/2025 00:15:00","EST","GENESE",61753,1117.0151
"12/05/2025 00:15:00","EST","HUD VL",61758,1243.5969
"12/05/2025 00:15:00","EST","LONGIL",61762,2249.7495
