"Time Stamp","Time Zone","Name","PTID","Load"
"12/14/2025 00:00:00","EST","CAPITL",61757,1426.5354
"12/14/2025 00:00:00","EST","CENTRL",61754,1829.4385
"12/14/2025 00:00:00","EST","DUNWOD",61760,625.9658
"12/14/2025 00:00:00","EST","GENESE",61753,1098.2549
"12/14/2025 00:00:00","EST","HUD VL",61758,1166.701
"12/14/2025 00:00:00","EST","LONGIL",61762,2201.253
"12/14/2025 00:00:00","EST","MHK VL",61756,943.6389
"12/14/2025 00:00:00","EST","MILLWD",61759,332.2404
"12/14/2025 00:00:00","EST","N.Y.C.",61761,5323.7896
"12/14/2025 00:00:00","EST","NORTH",61755,705.707
"12/14/2025 00:00:00","EST","WEST",61752,1704.987
"12/14/2025 00:05:00","EST","CAPITL",61757,1417.3933
"12/14/2025 00:05:00","EST","CENTRL",61754,1832.7109
"12/14/2025 00:05:00","EST","DUNWOD",61760,611.436
"12/14/2025 00:05:00","EST","GENESE",61753,1095.7776
"12/14/2025 00:05:00","EST","HUD VL",61758,1162.0757
"12/14/2025 00:05:00","EST","LONGIL",61762,2193.5144
"12/14/2025 00:05:00","EST","MHK VL",61756,937.5875
"12/14/2025 00:05:00","EST","MILLWD",61759,338.6963
"12/14/2025 00:05:00","EST","N.Y.C.",61761,5340.397
"12/14/2025 00:05:00","EST","NORTH",61755,678.642
"12/14/2025 00:05:00","EST","WEST",61752,1692.7346
"12/14/2025 00:10:00","EST","CAPITL",61757,1414.6223
"12/14/2025 00:10:00","EST","CENTRL",61754,1838.1248
"12/14/2025 00:10:00","EST","DUNWOD",61760,611.9113
"12/14/2025 00:10:00","EST","GENESE",61753,1094.8171
"12/14/2025 00:10:00","EST","HUD VL",61758,1125.935
"12/14/2025 00:10:00","EST","LONGIL",61762,2197.3442
"12/14/2025 00:10:00","EST","MHK VL",61756,949.3549
"12/14/2025 00:10:00","EST","MILLWD",61759,354.3161
"12/14/2025 00:10:00","EST","N.Y.C.",61761,5311.1426
"12/14/2025 00:10:00","EST","NORTH",61755,686.8533
"12/14/2025 00:10:00","EST","WEST",61752,1705.8594
"12/14/2025 00:15:00","EST","CAPITL",61757,1413.9933
"12/14/2025 00:15:00","EST","CENTRL",61754,1798.0056
"12/14/2025 00:15:00","EST","DUNWOD",61760,635.0888
"12/14/2025 00:15:00","EST","GENESE",61753,1084.3038
"12/14/2025 00:15:00","EST","HUD VL",61758,1150.247
"12/14/2025 00:15:00","EST","LONGIL",61762,2195.6973
"12/14/2025 00:15:00","EST","MHK VL",61756,942.048
"12/14/2025 00:15:00","EST","MILLWD",61759,343.3185
"12/14/2025 00:15:00","EST","N.Y.C.",61761,5283.1235
"12/14/2025 00:15:00","EST","NORTH",61755,670.5966
"12/14/2025 00:15:00","EST","WEST",61752,1683.8063
"12/14/2025 00:20:00","EST","CAPITL",61757,1410.6146
"12/14/2025 00:20:00","EST","CENTRL",61754,1840.1912
"12/14/2025 00:20:00","EST","DUNWOD",61760,642.2628
"12/14/2025 00:20:00","EST","GENESE",61753,1091.5806
"12/14/2025 00:20:00","EST","HUD VL",61758,1134.8784
"12/14/2025 00:20:00","EST","LONGIL",61762,2186.4575
"12/14/2025 00:20:00","EST","MHK VL",61756,931.5673
"12/14/2025 00:20:00","EST","MILLWD",61759,354.2537
"12/14/2025 00:20:00","EST","N.Y.C.",61761,5245.324
"12/14/2025 00:20:00","EST","NORTH",61755,675.0166
"12/14/2025 00:20:00","EST","WEST",61752,1696.0812
"12/14/2025 00:25:00","EST","CAPITL",61757,1419.5464
"12/14/2025 00:25:00","EST","CENTRL",61754,1845.395
"12/14/2025 00:25:00","EST","DUNWOD",61760,643.3328
"12/14/2025 00:25:00","EST","GENESE",61753,1081.228
"12/14/2025 00:25:00","EST","HUD VL",61758,1155.1968
"12/14/2025 00:25:00","EST","LONGIL",61762,2150.7495
"12/14/2025 00:25:00","EST","MHK VL",61756,929.3213
"12/14/2025 00:25:00","EST","MILLWD",61759,344.7496
"12/14/2025 00:25:00","EST","N.Y.C.",61761,5251.492
"12/14/2025 00:25:00","EST","NORTH",61755,683.3004
"12/14/2025 00:25:00","EST","WEST",61752,1692.3508
"12/14/2025 00:30:00","EST","CAPITL",61757,1414.9952
"12/14/2025 00:30:00","EST","CENTRL",61754,1794.1035
"12/14/2025 00:30:00","EST","DUNWOD",61760,643.2903
"12/14/2025 00:30:00","EST","GENESE",61753,1077.8647
"12/14/2025 00:30:00","EST","HUD VL",61758,1135.4957
"12/14/2025 00:30:00","EST","LONGIL",61762,2172.3203
"12/14/2025 00:30:00","EST","MHK VL",61756,920.5624
"12/14/2025 00:30:00","EST","MILLWD",61759,353.3554
"12/14/2025 00:30:00","EST","N.Y.C.",61761,5234.965
"12/14/2025 00:30:00","EST","NORTH",61755,683.1775
"12/14/2025 00:30:00","EST","WEST",61752,1698.3053
"12/14/2025 00:35:00","EST","CAPITL",61757,1401.3751
"12/14/2025 00:35:00","EST","CENTRL",61754,1837.1282
"12/14/2025 00:35:00","EST","DUNWOD",61760,646.6787
"12/14/2025 00:35:00","EST","GENESE",61753,1085.6888
"12/14/2025 00:35:00","EST","HUD VL",61758,1150.6415
"12/14/2025 00:35:00","EST","LONGIL",61762,2146.9673
"12/14/2025 00:35:00","EST","MHK VL",61756,920.0659
"12/14/2025 00:35:00","EST","MILLWD",61759,338.7308
"12/14/2025 00:35:00","EST","N.Y.C.",61761,5181.3174
"12/14/2025 00:35:00","EST","NORTH",61755,673.2788
"12/14/2025 00:35:00","EST","WEST",61752,1671.1848
"12/14/2025 00:40:00","EST","CAPITL",61757,1401.9126
"12/14/2025 00:40:00","EST","CENTRL",61754,1835.5681
"12/14/2025 00:40:00","EST","DUNWOD",61760,612.1588
"12/14/2025 00:40:00","EST","GENESE",61753,1082.742
"12/14/2025 00:40:00","EST","HUD VL",61758,1115.895
"12/14/2025 00:40:00","EST","LONGIL",61762,2124.706
"12/14/2025 00:40:00","EST","MHK VL",61756,927.9311
"12/14/2025 00:40:00","EST","MILLWD",61759,352.5145
"12/14/2025 00:40:00","EST","N.Y.C.",61761,5200.914
"12/14/2025 00:40:00","EST","NORTH",61755,670.6791
"12/14/2025 00:40:00","EST","WEST",61752,1681.4164
"12/14/2025 00:45:00","EST","CAPITL",61757,1388.0177
"12/14/2025 00:45:00","EST","CENTRL",61754,1842.5063
"12/14/2025 00:45:00","EST","DUNWOD",61760,619.3604
"12/14/2025 00:45:00","EST","GENESE",61753,1077.5077
"12/14/2025 00:45:00","EST","HUD VL",61758,1120.2214
"12/14/2025 00:45:00","EST","LONGIL",61762,2115.3796
"12/14/2025 00:45:00","EST","MHK VL",61756,922.7549
"12/14/2025 00:45:00","EST","MILLWD",61759,348.022
"12/14/2025 00:45:00","EST","N.Y.C.",61761,5170.859
"12/14/2025 00:45:00","EST","NORTH",61755,678.5891
"12/14/2025 00:45:00","EST","WEST",61752,1664.6853
"12/14/2025 00:50:00","EST","CAPITL",61757,1394.3525
"12/14/2025 00:50:00","EST","CENTRL",61754,1830.1086
"12/14/2025 00:50:00","EST","DUNWOD",61760,624.2231
"12/14/2025 00:50:00","EST","GENESE",61753,1075.5968
"12/14/2025 00:50:00","EST","HUD VL",61758,1113.2855
"12/14/2025 00:50:00","EST","LONGIL",61762,2093.3738
"12/14/2025 00:50:00","EST","MHK VL",61756,915.9306
"12/14/2025 00:50:00","EST","MILLWD",61759,344.2084
"12/14/2025 00:50:00","EST","N.Y.C.",61761,5175.171
"12/14/2025 00:50:00","EST","NORTH",61755,684.004
"12/14/2025 00:50:00","EST","WEST",61752,1661.483
"12/14/2025 00:55:00","EST","CAPITL",61757,1383.726
"12/14/2025 00:55:00","EST","CENTRL",61754,1842.0784
"12/14/2025 00:55:00","EST","DUNWOD",61760,609.9913
"12/14/2025 00:55:00","EST","GENESE",61753,1075.2104
"12/14/2025 00:55:00","EST","HUD VL",61758,1125.716
"12/14/2025 00:55:00","EST","LONGIL",61762,2088.8984
"12/14/2025 00:55:00","EST","MHK VL",61756,912.6394
"12/14/2025 00:55:00","EST","MILLWD",61759,348.2855
"12/14/2025 00:55:00","EST","N.Y.C.",61761,5153.6826
"12/14/2025 00:55:00","EST","NORTH",61755,681.927
"12/14/2025 00:55:00","EST","WEST",61752,1666.4045
"12/14/2025 01:00:00","EST","CAPITL",61757,1382.8784
"12/14/2025 01:00:00","EST","CENTRL",61754,1793.325
"12/14/2025 01:00:00","EST","DUNWOD",61760,632.3366
"12/14/2025 01:00:00","EST","GENESE",61753,1063.5537
"12/14/2025 01:00:00","EST","HUD VL",61758,1114.0608
"12/14/2025 01:00:00","EST","LONGIL",61762,2101.7153
"12/14/2025 01:00:00","EST","MHK VL",61756,920.6958
"12/14/2025 01:00:00","EST","MILLWD",61759,330.1909
"12/14/2025 01:00:00","EST","N.Y.C.",61761,5135.979
"12/14/2025 01:00:00","EST","NORTH",61755,675.225
