"Time Stamp","Time Zone","Name","PTID","Load"
"12/18/2025 00:00:00","EST","CAPITL",61757,1364.7563
"12/18/2025 00:00:00","EST","CENTRL",61754,1815.6663
"12/18/2025 00:00:00","EST","DUNWOD",61760,609.1951
"12/18/2025 00:00:00","EST","GENESE",61753,1031.9753
"12/18/2025 00:00:00","EST","HUD VL",61758,1119.2977
"12/18/2025 00:00:00","EST","LONGIL",61762,2157.309
"12/18/2025 00:00:00","EST","MHK VL",61756,885.5669
"12/18/2025 00:00:00","EST","MILLWD",61759,345.5213
"12/18/2025 00:00:00","EST","N.Y.C.",61761,5221.071
"12/18/2025 00:00:00","EST","NORTH",61755,682.5861
"12/18/2025 00:00:00","EST","WEST",61752,1731.0474
"12/18/2025 00:05:00","EST","CAPITL",61757,1357.2664
"12/18/2025 00:05:00","EST","CENTRL",61754,1801.4888
"12/18/2025 00:05:00","EST","DUNWOD",61760,613.9177
"12/18/2025 00:05:00","EST","GENESE",61753,1017.0085
"12/18/2025 00:05:00","EST","HUD VL",61758,1163.9808
"12/18/2025 00:05:00","EST","LONGIL",61762,2153.121
"12/18/2025 00:05:00","EST","MHK VL",61756,885.9751
"12/18/2025 00:05:00","EST","MILLWD",61759,340.526
"12/18/2025 00:05:00","EST","N.Y.C.",61761,5186.255
"12/18/2025 00:05:00","EST","NORTH",61755,681.8115
"12/18/2025 00:05:00","EST","WEST",61752,1703.4513
"12/18/2025 00:10:00","EST","CAPITL",61757,1358.2842
"12/18/2025 00:10:00","EST","CENTRL",61754,1792.4094
"12/18/2025 00:10:00","EST","DUNWOD",61760,612.9008
"12/18/2025 00:10:00","EST","GENESE",61753,1011.9028
"12/18/2025 00:10:00","EST","HUD VL",61758,1157.475
"12/18/2025 00:10:00","EST","LONGIL",61762,2153.7524
"12/18/2025 00:10:00","EST","MHK VL",61756,882.0481
"12/18/2025 00:10:00","EST","MILLWD",61759,333.2601
"12/18/2025 00:10:00","EST","N.Y.C.",61761,5176.493
"12/18/2025 00:10:00","EST","NORTH",61755,689.4835
"12/18/2025 00:10:00","EST","WEST",61752,1693.4634
"12/18/2025 00:15:00","EST","CAPITL",61757,1345.72
"12/18/2025 00:15:00","EST","CENTRL",61754,1798.7004
"12/18/2025 00:15:00","EST","DUNWOD",61760,626.9681
"12/18/2025 00:15:00","EST","GENESE",61753,1011.6611
"12/18/2025 00:15:00","EST","HUD VL",61758,1176.4082
"12/18/2025 00:15:00","EST","LONGIL",61762,2142.7817
"12/18/2025 00:15:00","EST","MHK VL",61756,867.701
"12/18/2025 00:15:00","EST","MILLWD",61759,325.1535
"12/18/2025 00:15:00","EST","N.Y.C.",61761,5127.461
"12/18/2025 00:15:00","EST","NORTH",61755,685.0627
"12/18/2025 00:15:00","EST","WEST",61752,1693.0784
"12/18/2025 00:20:00","EST","CAPITL",61757,1321.5742
"12/18/2025 00:20:00","EST","CENTRL",61754,1797.6816
"12/18/2025 00:20:00","EST","DUNWOD",61760,616.5236
"12/18/2025 00:20:00","EST","GENESE",61753,1013.9522
"12/18/2025 00:20:00","EST","HUD VL",61758,1149.7908
"12/18/2025 00:20:00","EST","LONGIL",61762,2121.2573
"12/18/2025 00:20:00","EST","MHK VL",61756,865.7163
"12/18/2025 00:20:00","EST","MILLWD",61759,343.0132
"12/18/2025 00:20:00","EST","N.Y.C.",61761,5121.4834
"12/18/2025 00:20:00","EST","NORTH",61755,686.1547
"12/18/2025 00:20:00","EST","WEST",61752,1676.2307
"12/18/2025 00:25:00","EST","CAPITL",61757,1350.3494
"12/18/2025 00:25:00","EST","CENTRL",61754,1797.9224
"12/18/2025 00:25:00","EST","DUNWOD",61760,621.5206
"12/18/2025 00:25:00","EST","GENESE",61753,1010.0938
"12/18/2025 00:25:00","EST","HUD VL",61758,1157.4342
"12/18/2025 00:25:00","EST","LONGIL",61762,2122.8848
"12/18/2025 00:25:00","EST","MHK VL",61756,863.6479
"12/18/2025 00:25:00","EST","MILLWD",61759,326.5757
"12/18/2025 00:25:00","EST","N.Y.C.",61761,5097.7407
"12/18/2025 00:25:00","EST","NORTH",61755,678.1948
"12/18/2025 00:25:00","EST","WEST",61752,1680.4386
"12/18/2025 00:30:00","EST","CAPITL",61757,1335.382
"12/18/2025 00:30:00","EST","CENTRL",61754,1777.0647
"12/18/2025 00:30:00","EST","DUNWOD",61760,620.2239
"12/18/2025 00:30:00","EST","GENESE",61753,1012.0635
"12/18/2025 00:30:00","EST","HUD VL",61758,1152.6864
"12/18/2025 00:30:00","EST","LONGIL",61762,2107.9763
"12/18/2025 00:30:00","EST","MHK VL",61756,841.6939
"12/18/2025 00:30:00","EST","MILLWD",61759,325.9111
"12/18/2025 00:30:00","EST","N.Y.C.",61761,5049.622
"12/18/2025 00:30:00","EST","NORTH",61755,686.4144
"12/18/2025 00:30:00","EST","WEST",61752,1686.9401
"12/18/2025 00:35:00","EST","CAPITL",61757,1326.4219
"12/18/2025 00:35:00","EST","CENTRL",61754,1807.065
"12/18/2025 00:35:00","EST","DUNWOD",61760,606.8159
"12/18/2025 00:35:00","EST","GENESE",61753,1005.9564
"12/18/2025 00:35:00","EST","HUD VL",61758,1110.2069
"12/18/2025 00:35:00","EST","LONGIL",61762,2125.7725
"12/18/2025 00:35:00","EST","MHK VL",61756,815.5344
"12/18/2025 00:35:00","EST","MILLWD",61759,348.818
"12/18/2025 00:35:00","EST","N.Y.C.",61761,5051.115
"12/18/2025 00:35:00","EST","NORTH",61755,688.3046
"12/18/2025 00:35:00","EST","WEST",61752,1690.8708
"12/18/2025 00:40:00","EST","CAPITL",61757,1332.0308
"12/18/2025 00:40:00","EST","CENTRL",61754,1792.5542
"12/18/2025 00:40:00","EST","DUNWOD",61760,599.9322
"12/18/2025 00:40:00","EST","GENESE",61753,1012.7642
"12/18/2025 00:40:00","EST","HUD VL",61758,1116.5155
"12/18/2025 00:40:00","EST","LONGIL",61762,2110.4822
"12/18/2025 00:40:00","EST","MHK VL",61756,825.4385
"12/18/2025 00:40:00","EST","MILLWD",61759,342.5896
"12/18/2025 00:40:00","EST","N.Y.C.",61761,5029.0205
"12/18/2025 00:40:00","EST","NORTH",61755,691.6389
"12/18/2025 00:40:00","EST","WEST",61752,1665.2731
"12/18/2025 00:45:00","EST","CAPITL",61757,1339.1566
"12/18/2025 00:45:00","EST","CENTRL",61754,1836.2344
"12/18/2025 00:45:00","EST","DUNWOD",61760,595.4749
"12/18/2025 00:45:00","EST","GENESE",61753,1001.7286
"12/18/2025 00:45:00","EST","HUD VL",61758,1113.101
"12/18/2025 00:45:00","EST","LONGIL",61762,2084.0574
"12/18/2025 00:45:00","EST","MHK VL",61756,769.6599
"12/18/2025 00:45:00","EST","MILLWD",61759,330.2974
"12/18/2025 00:45:00","EST","N.Y.C.",61761,5019.5137
"12/18/2025 00:45:00","EST","NORTH",61755,691.1551
"12/18/2025 00:45:00","EST","WEST",61752,1678.87
"12/18/2025 00:50:00","EST","CAPITL",61757,1346.9979
"12/18/2025 00:50:00","EST","CENTRL",61754,1857.9746
"12/18/2025 00:50:00","EST","DUNWOD",61760,604.1845
"12/18/2025 00:50:00","EST","GENESE",61753,991.3209
"12/18/2025 00:50:00","EST","HUD VL",61758,1112.2422
"12/18/2025 00:50:00","EST","LONGIL",61762,2072.5945
"12/18/2025 00:50:00","EST","MHK VL",61756,753.9559
"12/18/2025 00:50:00","EST","MILLWD",61759,332.3728
"12/18/2025 00:50:00","EST","N.Y.C.",61761,4989.338
"12/18/2025 00:50:00","EST","NORTH",61755,685.0601
"12/18/2025 00:50:00","EST","WEST",61752,1682.9993
"12/18/2025 00:55:00","EST","CAPITL",61757,1333.7212
"12/18/2025 00:55:00","EST","CENTRL",61754,1856.5312
"12/18/2025 00:55:00","EST","DUNWOD",61760,609.0271
"12/18/2025 00:55:00","EST","GENESE",61753,988.8937
"12/18/2025 00:55:00","EST","HUD VL",61758,1136.0465
"12/18/2025 00:55:00","EST","LONGIL",61762,2065.494
"12/18/2025 00:55:00","EST","MHK VL",61756,754.9957
"12/18/2025 00:55:00","EST","MILLWD",61759,317.9031
"12/18/2025 00:55:00","EST","N.Y.C.",61761,4979.6787
"12/18/2025 00:55:00","EST","NORTH",61755,697.9688
"12/18/2025 00:55:00","EST","WEST",61752,1672.6676
"12/18/2025 01:00:00","EST","CAPITL",61757,1347.7231
"12/18/2025 01:00:00","EST","CENTRL",61754,1878.3484
"12/18/2025 01:00:00","EST","DUNWOD",61760,607.6457
"12/18/2025 01:00:00","EST","GENESE",61753,987.9077
"12/18/2025 01:00:00","EST","HUD VL",61758,1103.0822
"12/18/2025 01:00:00","EST","LONGIL",61762,2067.4844
"12/18/2025 01:00:00","EST","MHK VL",61756,703.0171
"12/18/2025 01:00:00","EST","MILLWD",61759,325.3795
"12/18/2025 01:00:00","EST","N.Y.C.",61761,4965.823
"12/18/2025 01:00:00","EST","NORTH",61755,711.6834
"12/18/2025 01:00:00","EST","WEST",61752,1670.229
"12/18/2025 01:05:00","EST","CAPITL",61757,1329.2036
"12/18/2025 01:05:00","EST","CENTRL",61754,1793.311
