"Time Stamp","Time Zone","Name","PTID","Load"
"12/31/2025 00:00:00","EST","CAPITL",61757,1465.7479
"12/31/2025 00:00:00","EST","CENTRL",61754,1890.8462
"12/31/2025 00:00:00","EST","DUNWOD",61760,676.4402
"12/31/2025 00:00:00","EST","GENESE",61753,1168.8306
"12/31/2025 00:00:00","EST","HUD VL",61758,1205.2772
"12/31/2025 00:00:00","EST","LONGIL",61762,2412.249
"12/31/2025 00:00:00","EST","MHK VL",61756,1043.9365
"12/31/2025 00:00:00","EST","MILLWD",61759,388.0407
"12/31/2025 00:00:00","EST","N.Y.C.",61761,5659.368
"12/31/2025 00:00:00","EST","NORTH",61755,740.7307
"12/31/2025 00:00:00","EST","WEST",61752,1798.3801
"12/31/2025 00:05:00","EST","CAPITL",61757,1478.7021
"12/31/2025 00:05:00","EST","CENTRL",61754,1869.908
"12/31/2025 00:05:00","EST","DUNWOD",61760,687.1415
"12/31/2025 00:05:00","EST","GENESE",61753,1153.3176
"12/31/2025 00:05:00","EST","HUD VL",61758,1191.1984
"12/31/2025 00:05:00","EST","LONGIL",61762,2384.7363
"12/31/2025 00:05:00","EST","MHK VL",61756,1025.4944
"12/31/2025 00:05:00","EST","MILLWD",61759,377.549
"12/31/2025 00:05:00","EST","N.Y.C.",61761,5648.915
"12/31/2025 00:05:00","EST","NORTH",61755,768.1912
"12/31/2025 00:05:00","EST","WEST",61752,1797.8462
"12/31/2025 00:10:00","EST","CAPITL",61757,1473.1519
"12/31/2025 00:10:00","EST","CENTRL",61754,1862.9866
"12/31/2025 00:10:00","EST","DUNWOD",61760,677.382
"12/31/2025 00:10:00","EST","GENESE",61753,1151.2817
"12/31/2025 00:10:00","EST","HUD VL",61758,1199.1497
"12/31/2025 00:10:00","EST","LONGIL",61762,2398.9536
"12/31/2025 00:10:00","EST","MHK VL",61756,1032.5276
"12/31/2025 00:10:00","EST","MILLWD",61759,398.3535
"12/31/2025 00:10:00","EST","N.Y.C.",61761,5626.8086
"12/31/2025 00:10:00","EST","NORTH",61755,754.4456
"12/31/2025 00:10:00","EST","WEST",61752,1769.6561
"12/31/2025 00:15:00","EST","CAPITL",61757,1472.1578
"12/31/2025 00:15:00","EST","CENTRL",61754,1860.9331
"12/31/2025 00:15:00","EST","DUNWOD",61760,686.7557
"12/31/2025 00:15:00","EST","GENESE",61753,1151.2185
"12/31/2025 00:15:00","EST","HUD VL",61758,1204.5414
"12/31/2025 00:15:00","EST","LONGIL",61762,2384.1697
"12/31/2025 00:15:00","EST","MHK VL",61756,1026.2212
"12/31/2025 00:15:00","EST","MILLWD",61759,391.8173
"12/31/2025 00:15:00","EST","N.Y.C.",61761,5602.2124
"12/31/2025 00:15:00","EST","NORTH",61755,744.3162
"12/31/2025 00:15:00","EST","WEST",61752,1760.929
"12/31/2025 00:20:00","EST","CAPITL",61757,1477.5605
