"Time Stamp","Time Zone","Name","PTID","Load"
"12/25/2025 00:00:00","EST","CAPITL",61757,1339.2065
"12/25/2025 00:00:00","EST","CENTRL",61754,1713.5786
"12/25/2025 00:00:00","EST","DUNWOD",61760,622.585
"12/25/2025 00:00:00","EST","GENESE",61753,1009.52
"12/25/2025 00:00:00","EST","HUD VL",61758,1105.4656
"12/25/2025 00:00:00","EST","LONGIL",61762,2200.7139
"12/25/2025 00:00:00","EST","MHK VL",61756,864.8962
"12/25/2025 00:00:00","EST","MILLWD",61759,330.4032
"12/25/2025 00:00:00","EST","N.Y.C.",61761,5004.6943
"12/25/2025 00:00:00","EST","NORTH",61755,649.9794
"12/25/2025 00:00:00","EST","WEST",61752,1577.7488
"12/25/2025 00:05:00","EST","CAPITL",61757,1378.0444
"12/25/2025 00:05:00","EST","CENTRL",61754,1711.4712
"12/25/2025 00:05:00","EST","DUNWOD",61760,620.9545
"12/25/2025 00:05:00","EST","GENESE",61753,1000.1202
"12/25/2025 00:05:00","EST","HUD VL",61758,1073.752
"12/25/2025 00:05:00","EST","LONGIL",61762,2191.2695
"12/25/2025 00:05:00","EST","MHK VL",61756,863.644
"12/25/2025 00:05:00","EST","MILLWD",61759,330.1378
"12/25/2025 00:05:00","EST","N.Y.C.",61761,4977.868
"12/25/2025 00:05:00","EST","NORTH",61755,651.6278
"12/25/2025 00:05:00","EST","WEST",61752,1563.6063
"12/25/2025 00:10:00","EST","CAPITL",61757,1357.5522
"12/25/2025 00:10:00","EST","CENTRL",61754,1700.5242
"12/25/2025 00:10:00","EST","DUNWOD",61760,616.6494
"12/25/2025 00:10:00","EST","GENESE",61753,1000.8657
"12/25/2025 00:10:00","EST","HUD VL",61758,1086.4877
"12/25/2025 00:10:00","EST","LONGIL",61762,2180.7764
"12/25/2025 00:10:00","EST","MHK VL",61756,872.1601
"12/25/2025 00:10:00","EST","MILLWD",61759,335.527
"12/25/2025 00:10:00","EST","N.Y.C.",61761,4992.2466
"12/25/2025 00:10:00","EST","NORTH",61755,649.0179
"12/25/2025 00:10:00","EST","WEST",61752,1553.5596
"12/25/2025 00:15:00","EST","CAPITL",61757,1349.8433
"12/25/2025 00:15:00","EST","CENTRL",61754,1701.0083
"12/25/2025 00:15:00","EST","DUNWOD",61760,627.0695
"12/25/2025 00:15:00","EST","GENESE",61753,999.937
"12/25/2025 00:15:00","EST","HUD VL",61758,1086.8496
"12/25/2025 00:15:00","EST","LONGIL",61762,2171.0862
"12/25/2025 00:15:00","EST","MHK VL",61756,870.0653
"12/25/2025 00:15:00","EST","MILLWD",61759,333.2342
"12/25/2025 00:15:00","EST","N.Y.C.",61761,4962.66
"12/25/2025 00:15:00","EST","NORTH",61755,639.4176
"12/25/2025 00:15:00","EST","WEST",61752,1541.8357
"12/25/2025 00:20:00","EST","CAPITL",61757,1361.1262
"12/25/2025 00:20:00","EST","CENTRL",61754,1710.0596
"12/25/2025 00:20:00","EST","DUNWOD",61760,627.2703
"12/25/2025 00:20:00","EST","GENESE",61753,992.965
"12/25/2025 00:20:00","EST","HUD VL",61758,1091.2554
"12/25/2025 00:20:00","EST","LONGIL",61762,2154.739
"12/25/2025 00:20:00","EST","MHK VL",61756,860.3816
"12/25/2025 00:20:00","EST","MILLWD",61759,340.2595
"12/25/2025 00:20:00","EST","N.Y.C.",61761,4940.7
"12/25/2025 00:20:00","EST","NORTH",61755,640.98
"12/25/2025 00:20:00","EST","WEST",61752,1527.2998
"12/25/2025 00:25:00","EST","CAPITL",61757,1346.9109
"12/25/2025 00:25:00","EST","CENTRL",61754,1682.1997
"12/25/2025 00:25:00","EST","DUNWOD",61760,634.4136
"12/25/2025 00:25:00","EST","GENESE",61753,985.2985
"12/25/2025 00:25:00","EST","HUD VL",61758,1099.6229
"12/25/2025 00:25:00","EST","LONGIL",61762,2162.9414
"12/25/2025 00:25:00","EST","MHK VL",61756,859.3541
"12/25/2025 00:25:00","EST","MILLWD",61759,325.5098
"12/25/2025 00:25:00","EST","N.Y.C.",61761,4905.508
"12/25/2025 00:25:00","EST","NORTH",61755,652.7113
"12/25/2025 00:25:00","EST","WEST",61752,1554.3856
"12/25/2025 00:30:00","EST","CAPITL",61757,1340.4618
"12/25/2025 00:30:00","EST","CENTRL",61754,1681.376
"12/25/2025 00:30:00","EST","DUNWOD",61760,628.257
"12/25/2025 00:30:00","EST","GENESE",61753,983.3295
"12/25/2025 00:30:00","EST","HUD VL",61758,1077.7896
"12/25/2025 00:30:00","EST","LONGIL",61762,2149.8008
"12/25/2025 00:30:00","EST","MHK VL",61756,847.8297
"12/25/2025 00:30:00","EST","MILLWD",61759,336.0608
"12/25/2025 00:30:00","EST","N.Y.C.",61761,4904.0713
"12/25/2025 00:30:00","EST","NORTH",61755,655.6674
"12/25/2025 00:30:00","EST","WEST",61752,1542.2827
